Employee_ID,Rank,Name,Branch,Pool,Entry_type,8_yr_avg_eval,Appointment_history,Training_history,Promotion_history,promotion_status,DOB,current_appointment,appointed_since
200001,Lieutenant (jg),Rysa Riker,Tactical Systems,Planetary Surface,Direct Enlist,70,Asst Manager Starbase Support Command Gamma / Post 1 (28 JUN 2018 -  ),,Lieutenant (jg)(28 JUN 2018 -  ),0,10/11/1937,Asst Manager Starbase Support Command Gamma / Post 1,28-Jun-18
200002,Lieutenant (jg),Rian Bex,Tactical Systems,Near Earth,Cadet,70.06,Div Officer CS Horizon / Post 1 (15 JUN 2019 -  ),Tactical Systems Specialization Course (15 DEC 2018 - 15 JUN 2019),Lieutenant (jg)(15 DEC 2018 -  ),0,10/07/1948,Div Officer CS Horizon / Post 1,15-Jun-19
200003,Lieutenant (jg),Rian Orrel,Engineering,Near Earth,Cadet,75.08,Div Officer SS Genesis (18 AUG 2021 -  ),Engineering Specialization Course (18 FEB 2021 - 18 AUG 2021),Lieutenant (jg)(18 FEB 2021 -  ),0,17/02/1952,Div Officer SS Genesis,18-Aug-21
200004,Lieutenant (jg),Marek Janus,Engineering,Galactic,Direct Enlist,75.35,Asst Manager Fleet Maintenance Wing Alpha / Post 1 (07 OCT 2020 -  ),,Lieutenant (jg)(07 OCT 2020 -  ),0,30/06/1937,Asst Manager Fleet Maintenance Wing Alpha / Post 1,07-Oct-20
200005,Lieutenant (jg),Soren Orrel,Engineering,Near Earth,Cadet,70,Div Officer RS Horizon / Post 1 (03 NOV 2019 -  ),Engineering Specialization Course (03 MAY 2019 - 03 NOV 2019),Lieutenant (jg)(03 MAY 2019 -  ),0,01/12/1934,Div Officer RS Horizon / Post 1,03-Nov-19
200006,Lieutenant (jg),Galen Gant,Engineering,Planetary Surface,Direct Enlist,70,Asst Manager Starbase Support Command Delta / Post 1 (15 MAY 2021 -  ),,Lieutenant (jg)(15 MAY 2021 -  ),0,14/12/1946,Asst Manager Starbase Support Command Delta / Post 1,15-May-21
200007,Lieutenant (jg),Rian Sarek,Tactical Systems,Near Earth,Cadet,74.71,Div Officer RS Atlantis / Post 1 (12 DEC 2019 -  ),Tactical Systems Specialization Course (12 JUN 2019 - 12 DEC 2019),Lieutenant (jg)(12 JUN 2019 -  ),0,18/02/1943,Div Officer RS Atlantis / Post 1,12-Dec-19
200008,Lieutenant (jg),Nyota Janus,Tactical Systems,Galactic,Direct Enlist,73.79,Asst Manager Dockyard Complex Two / Post 1 (21 OCT 2018 -  ),,Lieutenant (jg)(21 OCT 2018 -  ),0,23/03/1949,Asst Manager Dockyard Complex Two / Post 1,21-Oct-18
200009,Lieutenant (jg),Bren Tal,Engineering,Deep Space,Cadet,70,Div Officer ISS Atlantis (15 SEP 2019 -  ),Engineering Specialization Course (15 MAR 2019 - 15 SEP 2019),Lieutenant (jg)(15 MAR 2019 -  ),0,21/01/1942,Div Officer ISS Atlantis,15-Sep-19
200010,Lieutenant (jg),Marek Kell,Engineering,Near Earth,Direct Enlist,74.58,Asst Manager Systems Maintenance Group Prime / Post 1 (22 APR 2022 -  ),,Lieutenant (jg)(22 APR 2022 -  ),1,07/02/1948,Asst Manager Systems Maintenance Group Prime / Post 1,22-Apr-22
200011,Lieutenant (jg),Lara Riker,Tactical Systems,Galactic,Direct Enlist,70,Staff Officer Field HQ - Tactical Systems / Post 1 (07 FEB 2020 -  ),,Lieutenant (jg)(07 FEB 2020 -  ),0,08/08/1942,Staff Officer Field HQ - Tactical Systems / Post 1,07-Feb-20
200012,Lieutenant (jg),Varis Tal,Engineering,Deep Space,Direct Enlist,72.36,Staff Officer Field HQ - Engineering / Post 1 (21 JUL 2021 -  ),,Lieutenant (jg)(21 JUL 2021 -  ),0,02/10/1948,Staff Officer Field HQ - Engineering / Post 1,21-Jul-21
200013,Lieutenant (jg),Jorah Riker,Engineering,Near Earth,Cadet,72.57,Div Officer USS Aegis / Post 1 (16 MAR 2020 -  ),Engineering Specialization Course (16 SEP 2019 - 16 MAR 2020),Lieutenant (jg)(16 SEP 2019 -  ),0,28/08/1947,Div Officer USS Aegis / Post 1,16-Mar-20
200014,Lieutenant (jg),Sela Duran,Tactical Systems,Galactic,Cadet,73.53,Div Officer RS Pioneer / Post 1 (21 SEP 2018 -  ),Tactical Systems Specialization Course (21 MAR 2018 - 21 SEP 2018),Lieutenant (jg)(21 MAR 2018 -  ),0,26/10/1938,Div Officer RS Pioneer / Post 1,21-Sep-18
200015,Lieutenant (jg),Galen Janus,Tactical Systems,Deep Space,Cadet,73.59,Div Officer ISS Genesis / Post 1 (13 AUG 2022 -  ),Tactical Systems Specialization Course (13 FEB 2022 - 13 AUG 2022),Lieutenant (jg)(13 FEB 2022 -  ),0,22/07/1944,Div Officer ISS Genesis / Post 1,13-Aug-22
200016,Lieutenant (jg),Jarek Janus,Tactical Systems,Galactic,Cadet,70,Div Officer CS Meridian / Post 1 (09 MAR 2022 -  ),Tactical Systems Specialization Course (09 SEP 2021 - 09 MAR 2022),Lieutenant (jg)(09 SEP 2021 -  ),0,26/12/1943,Div Officer CS Meridian / Post 1,09-Mar-22
200017,Lieutenant (jg),T'Len Orrel,Engineering,Near Earth,Cadet,70.9,Div Officer SS Gateway / Post 1 (18 MAY 2019 -  ),Engineering Specialization Course (18 NOV 2018 - 18 MAY 2019),Lieutenant (jg)(18 NOV 2018 -  ),0,31/10/1942,Div Officer SS Gateway / Post 1,18-May-19
200018,Lieutenant (jg),Nyota Pax,Tactical Systems,Deep Space,Cadet,71.37,Div Officer RS Titan / Post 1 (14 NOV 2018 -  ),Tactical Systems Specialization Course (14 MAY 2018 - 14 NOV 2018),Lieutenant (jg)(14 MAY 2018 -  ),0,03/09/1952,Div Officer RS Titan / Post 1,14-Nov-18
200019,Lieutenant (jg),Keelan Janus,Engineering,Planetary Surface,Cadet,74.75,Div Officer SS Nova / Post 1 (24 JUN 2019 -  ),Engineering Specialization Course (24 DEC 2018 - 24 JUN 2019),Lieutenant (jg)(24 DEC 2018 -  ),0,13/12/1941,Div Officer SS Nova / Post 1,24-Jun-19
200020,Lieutenant (jg),Soren Bex,Tactical Systems,Deep Space,Cadet,80.72,Div Officer SS Nova / Post 2 (04 MAR 2020 -  ),Tactical Systems Specialization Course (04 SEP 2019 - 04 MAR 2020),Lieutenant (jg)(04 SEP 2019 -  ),0,24/06/1951,Div Officer SS Nova / Post 2,04-Mar-20
200021,Lieutenant (jg),Halan Tyre,Engineering,Deep Space,Cadet,73.76,Div Officer SS Prometheus / Post 1 (05 OCT 2022 -  ),Engineering Specialization Course (05 APR 2022 - 05 OCT 2022),Lieutenant (jg)(05 APR 2022 -  ),0,11/07/1950,Div Officer SS Prometheus / Post 1,05-Oct-22
200022,Lieutenant (jg),Galen Orrel,Tactical Systems,Galactic,Cadet,71.45,Div Officer CS Gateway / Post 1 (01 MAR 2023 -  ),Tactical Systems Specialization Course (01 SEP 2022 - 01 MAR 2023),Lieutenant (jg)(01 SEP 2022 -  ),0,05/04/1946,Div Officer CS Gateway / Post 1,01-Mar-23
200023,Lieutenant (jg),Kara Lox,Engineering,Deep Space,Cadet,74.23,Div Officer SS Atlantis / Post 1 (04 JUL 2021 -  ),Engineering Specialization Course (04 JAN 2021 - 04 JUL 2021),Lieutenant (jg)(04 JAN 2021 -  ),0,31/01/1943,Div Officer SS Atlantis / Post 1,04-Jul-21
200024,Lieutenant (jg),Tuvok Taran,Engineering,Galactic,Cadet,72.91,Div Officer CS Horizon / Post 2 (08 JUL 2019 -  ),Engineering Specialization Course (08 JAN 2019 - 08 JUL 2019),Lieutenant (jg)(08 JAN 2019 -  ),0,31/08/1945,Div Officer CS Horizon / Post 2,08-Jul-19
200025,Lieutenant (jg),Ari Eron,Tactical Systems,Planetary Surface,Cadet,70.02,Div Officer USS Orion / Post 1 (16 JUN 2019 -  ),Tactical Systems Specialization Course (16 DEC 2018 - 16 JUN 2019),Lieutenant (jg)(16 DEC 2018 -  ),0,08/04/1947,Div Officer USS Orion / Post 1,16-Jun-19
